2026-06-25 21:26:14 | INFO     | scrapers.scraper_manager  | ΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇ
2026-06-25 21:26:14 | INFO     | scrapers.scraper_manager  | Running: CutShort
2026-06-25 21:26:14 | INFO     | scrapers.base_scraper     | [cutshort] Starting scrape...
2026-06-25 21:26:14 | WARNING  | scrapers.base_scraper     | [cutshort] HTTP error 404 for https://cutshort.io/jobs/machine-learning/in-bangalore-experience-0-1
2026-06-25 21:26:15 | WARNING  | scrapers.base_scraper     | [cutshort] HTTP error 404 for https://cutshort.io/jobs/artificial-intelligence/in-bangalore-experience-0-1
2026-06-25 21:26:17 | WARNING  | scrapers.base_scraper     | [cutshort] HTTP error 404 for https://cutshort.io/jobs/data-science/in-bangalore-experience-0-1
2026-06-25 21:26:18 | WARNING  | scrapers.base_scraper     | [cutshort] HTTP error 404 for https://cutshort.io/jobs/deep-learning/in-bangalore-experience-0-1
2026-06-25 21:26:20 | WARNING  | scrapers.base_scraper     | [cutshort] HTTP error 404 for https://cutshort.io/jobs/python-machine-learning/in-bangalore-experience-0-1
2026-06-25 21:26:21 | WARNING  | scrapers.base_scraper     | [cutshort] HTTP error 404 for https://cutshort.io/jobs/nlp/in-bangalore-experience-0-1
2026-06-25 21:26:21 | INFO     | scrapers.base_scraper     | [cutshort] Scraped 0 jobs
2026-06-25 21:26:21 | INFO     | scrapers.scraper_manager  | Γ£ô CutShort: 0 jobs (7.7s)
2026-06-25 21:26:21 | INFO     | scrapers.scraper_manager  | ΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇ
2026-06-25 21:26:21 | INFO     | scrapers.scraper_manager  | Running: Naukri
2026-06-25 21:26:21 | INFO     | scrapers.base_scraper     | [naukri] Starting scrape...
2026-06-25 21:26:22 | WARNING  | scrapers.base_scraper     | [naukri] HTTP error 406 for https://www.naukri.com/jobapi/v3/search
2026-06-25 21:26:24 | WARNING  | scrapers.base_scraper     | [naukri] HTTP error 406 for https://www.naukri.com/jobapi/v3/search
